tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,mota,motp,idf1,hota
botsort,0.2,0.1,0.4,4,0.95,0.4,0.77,0.5,0.51
botsort,0.2,0.1,0.4,10,0.6,0.19,0.84,0.3,0.29
botsort,0.2,0.1,0.4,10,0.8,0.34,0.8,0.4,0.38
botsort,0.2,0.1,0.4,10,0.9,0.39,0.77,0.48,0.48
botsort,0.2,0.1,0.4,10,0.95,0.39,0.77,0.48,0.5
botsort,0.2,0.1,0.6,1,0.6,0.19,0.83,0.3,0.28
botsort,0.2,0.1,0.6,1,0.8,0.36,0.79,0.46,0.42
botsort,0.2,0.1,0.6,1,0.9,0.4,0.77,0.5,0.49
botsort,0.2,0.1,0.6,1,0.95,0.41,0.77,0.51,0.51
botsort,0.2,0.1,0.6,2,0.6,0.2,0.84,0.3,0.28
botsort,0.2,0.1,0.6,2,0.8,0.35,0.8,0.44,0.41
botsort,0.2,0.1,0.6,2,0.9,0.39,0.78,0.49,0.48
botsort,0.2,0.1,0.6,2,0.95,0.4,0.77,0.5,0.51
botsort,0.2,0.1,0.6,3,0.6,0.2,0.84,0.3,0.28
botsort,0.2,0.1,0.6,3,0.8,0.34,0.8,0.43,0.4
botsort,0.2,0.1,0.6,3,0.9,0.39,0.77,0.48,0.48
botsort,0.2,0.1,0.6,3,0.95,0.4,0.77,0.5,0.51
botsort,0.2,0.1,0.6,4,0.6,0.2,0.84,0.3,0.28
botsort,0.2,0.1,0.6,4,0.8,0.34,0.8,0.42,0.39
botsort,0.2,0.1,0.6,4,0.9,0.39,0.77,0.48,0.48
botsort,0.2,0.1,0.6,4,0.95,0.4,0.77,0.5,0.51
botsort,0.2,0.1,0.6,10,0.6,0.2,0.84,0.3,0.28
botsort,0.2,0.1,0.6,10,0.8,0.34,0.8,0.42,0.39
botsort,0.2,0.1,0.6,10,0.9,0.39,0.77,0.48,0.48
botsort,0.2,0.1,0.6,10,0.95,0.39,0.77,0.48,0.5
botsort,0.2,0.1,0.8,1,0.6,0.16,0.7,0.26,0.24
botsort,0.2,0.1,0.8,1,0.8,0.33,0.66,0.41,0.38
botsort,0.2,0.1,0.8,1,0.9,0.37,0.64,0.46,0.44
botsort,0.2,0.1,0.8,1,0.95,0.38,0.64,0.46,0.44
botsort,0.2,0.1,0.8,2,0.6,0.17,0.7,0.26,0.24
botsort,0.2,0.1,0.8,2,0.8,0.32,0.66,0.4,0.38
botsort,0.2,0.1,0.8,2,0.9,0.36,0.64,0.45,0.43
botsort,0.2,0.1,0.8,2,0.95,0.37,0.64,0.45,0.44
botsort,0.2,0.1,0.8,3,0.6,0.17,0.71,0.26,0.24
botsort,0.2,0.1,0.8,3,0.8,0.31,0.66,0.39,0.36
botsort,0.2,0.1,0.8,3,0.9,0.36,0.64,0.44,0.43
botsort,0.2,0.1,0.8,3,0.95,0.37,0.63,0.45,0.44
botsort,0.2,0.1,0.8,4,0.6,0.17,0.71,0.26,0.24
botsort,0.2,0.1,0.8,4,0.8,0.31,0.66,0.38,0.36
botsort,0.2,0.1,0.8,4,0.9,0.36,0.64,0.44,0.43
botsort,0.2,0.1,0.8,4,0.95,0.37,0.63,0.45,0.44
botsort,0.2,0.1,0.8,10,0.6,0.17,0.71,0.25,0.24
botsort,0.2,0.1,0.8,10,0.8,0.31,0.66,0.38,0.36
botsort,0.2,0.1,0.8,10,0.9,0.36,0.64,0.44,0.43
botsort,0.2,0.1,0.8,10,0.95,0.36,0.63,0.44,0.43
botsort,0.4,0.1,0.2,1,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.1,0.2,1,0.8,0.36,0.79,0.44,0.41
botsort,0.4,0.1,0.2,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.1,0.2,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.1,0.2,2,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.1,0.2,2,0.8,0.35,0.8,0.43,0.41
botsort,0.4,0.1,0.2,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.1,0.2,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.2,3,0.6,0.19,0.84,0.31,0.28
botsort,0.4,0.1,0.2,3,0.8,0.34,0.8,0.41,0.39
botsort,0.4,0.1,0.2,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.2,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.2,4,0.6,0.2,0.84,0.31,0.29
botsort,0.4,0.1,0.2,4,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.1,0.2,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.2,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.2,10,0.6,0.19,0.84,0.3,0.29
botsort,0.4,0.1,0.2,10,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.1,0.2,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.2,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.1,0.4,1,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.1,0.4,1,0.8,0.36,0.79,0.44,0.41
botsort,0.4,0.1,0.4,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.1,0.4,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.1,0.4,2,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.1,0.4,2,0.8,0.35,0.8,0.43,0.41
botsort,0.4,0.1,0.4,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.1,0.4,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.4,3,0.6,0.19,0.84,0.31,0.28
botsort,0.4,0.1,0.4,3,0.8,0.34,0.8,0.41,0.39
botsort,0.4,0.1,0.4,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.4,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.4,4,0.6,0.2,0.84,0.31,0.29
botsort,0.4,0.1,0.4,4,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.1,0.4,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.4,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.4,10,0.6,0.19,0.84,0.3,0.29
botsort,0.4,0.1,0.4,10,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.1,0.4,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.4,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.1,0.6,1,0.6,0.19,0.83,0.3,0.28
botsort,0.4,0.1,0.6,1,0.8,0.36,0.79,0.46,0.42
botsort,0.4,0.1,0.6,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.1,0.6,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.1,0.6,2,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.1,0.6,2,0.8,0.35,0.8,0.44,0.41
botsort,0.4,0.1,0.6,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.1,0.6,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.6,3,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.1,0.6,3,0.8,0.34,0.8,0.43,0.4
botsort,0.4,0.1,0.6,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.6,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.6,4,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.1,0.6,4,0.8,0.34,0.8,0.42,0.39
botsort,0.4,0.1,0.6,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.6,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.1,0.6,10,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.1,0.6,10,0.8,0.34,0.8,0.42,0.39
botsort,0.4,0.1,0.6,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.1,0.6,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.1,0.8,1,0.6,0.16,0.7,0.26,0.24
botsort,0.4,0.1,0.8,1,0.8,0.33,0.66,0.41,0.38
botsort,0.4,0.1,0.8,1,0.9,0.37,0.64,0.46,0.44
botsort,0.4,0.1,0.8,1,0.95,0.38,0.64,0.46,0.44
botsort,0.4,0.1,0.8,2,0.6,0.17,0.7,0.26,0.24
botsort,0.4,0.1,0.8,2,0.8,0.32,0.66,0.4,0.38
botsort,0.4,0.1,0.8,2,0.9,0.36,0.64,0.45,0.43
botsort,0.4,0.1,0.8,2,0.95,0.37,0.64,0.45,0.44
botsort,0.4,0.1,0.8,3,0.6,0.17,0.71,0.26,0.24
botsort,0.4,0.1,0.8,3,0.8,0.31,0.66,0.39,0.36
botsort,0.4,0.1,0.8,3,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.1,0.8,3,0.95,0.37,0.63,0.45,0.44
botsort,0.4,0.1,0.8,4,0.6,0.17,0.71,0.26,0.24
botsort,0.4,0.1,0.8,4,0.8,0.31,0.66,0.38,0.36
botsort,0.4,0.1,0.8,4,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.1,0.8,4,0.95,0.37,0.63,0.45,0.44
botsort,0.4,0.1,0.8,10,0.6,0.17,0.71,0.25,0.24
botsort,0.4,0.1,0.8,10,0.8,0.31,0.66,0.38,0.36
botsort,0.4,0.1,0.8,10,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.1,0.8,10,0.95,0.36,0.63,0.44,0.43
botsort,0.4,0.2,0.2,1,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.2,0.2,1,0.8,0.36,0.79,0.44,0.41
botsort,0.4,0.2,0.2,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.2,0.2,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.2,0.2,2,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.2,0.2,2,0.8,0.35,0.8,0.43,0.41
botsort,0.4,0.2,0.2,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.2,0.2,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.2,3,0.6,0.19,0.84,0.31,0.28
botsort,0.4,0.2,0.2,3,0.8,0.34,0.8,0.41,0.39
botsort,0.4,0.2,0.2,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.2,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.2,4,0.6,0.2,0.84,0.31,0.29
botsort,0.4,0.2,0.2,4,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.2,0.2,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.2,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.2,10,0.6,0.19,0.84,0.3,0.29
botsort,0.4,0.2,0.2,10,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.2,0.2,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.2,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.2,0.4,1,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.2,0.4,1,0.8,0.36,0.79,0.44,0.41
botsort,0.4,0.2,0.4,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.2,0.4,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.2,0.4,2,0.6,0.19,0.83,0.31,0.29
botsort,0.4,0.2,0.4,2,0.8,0.35,0.8,0.43,0.41
botsort,0.4,0.2,0.4,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.2,0.4,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.4,3,0.6,0.19,0.84,0.31,0.28
botsort,0.4,0.2,0.4,3,0.8,0.34,0.8,0.41,0.39
botsort,0.4,0.2,0.4,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.4,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.4,4,0.6,0.2,0.84,0.31,0.29
botsort,0.4,0.2,0.4,4,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.2,0.4,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.4,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.4,10,0.6,0.19,0.84,0.3,0.29
botsort,0.4,0.2,0.4,10,0.8,0.34,0.8,0.4,0.38
botsort,0.4,0.2,0.4,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.4,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.2,0.6,1,0.6,0.19,0.83,0.3,0.28
botsort,0.4,0.2,0.6,1,0.8,0.36,0.79,0.46,0.42
botsort,0.4,0.2,0.6,1,0.9,0.4,0.77,0.5,0.49
botsort,0.4,0.2,0.6,1,0.95,0.41,0.77,0.51,0.51
botsort,0.4,0.2,0.6,2,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.2,0.6,2,0.8,0.35,0.8,0.44,0.41
botsort,0.4,0.2,0.6,2,0.9,0.39,0.78,0.49,0.48
botsort,0.4,0.2,0.6,2,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.6,3,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.2,0.6,3,0.8,0.34,0.8,0.43,0.4
botsort,0.4,0.2,0.6,3,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.6,3,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.6,4,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.2,0.6,4,0.8,0.34,0.8,0.42,0.39
botsort,0.4,0.2,0.6,4,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.6,4,0.95,0.4,0.77,0.5,0.51
botsort,0.4,0.2,0.6,10,0.6,0.2,0.84,0.3,0.28
botsort,0.4,0.2,0.6,10,0.8,0.34,0.8,0.42,0.39
botsort,0.4,0.2,0.6,10,0.9,0.39,0.77,0.48,0.48
botsort,0.4,0.2,0.6,10,0.95,0.39,0.77,0.48,0.5
botsort,0.4,0.2,0.8,1,0.6,0.16,0.7,0.26,0.24
botsort,0.4,0.2,0.8,1,0.8,0.33,0.66,0.41,0.38
botsort,0.4,0.2,0.8,1,0.9,0.37,0.64,0.46,0.44
botsort,0.4,0.2,0.8,1,0.95,0.38,0.64,0.46,0.44
botsort,0.4,0.2,0.8,2,0.6,0.17,0.7,0.26,0.24
botsort,0.4,0.2,0.8,2,0.8,0.32,0.66,0.4,0.38
botsort,0.4,0.2,0.8,2,0.9,0.36,0.64,0.45,0.43
botsort,0.4,0.2,0.8,2,0.95,0.37,0.64,0.45,0.44
botsort,0.4,0.2,0.8,3,0.6,0.17,0.71,0.26,0.24
botsort,0.4,0.2,0.8,3,0.8,0.31,0.66,0.39,0.36
botsort,0.4,0.2,0.8,3,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.2,0.8,3,0.95,0.37,0.63,0.45,0.44
botsort,0.4,0.2,0.8,4,0.6,0.17,0.71,0.26,0.24
botsort,0.4,0.2,0.8,4,0.8,0.31,0.66,0.38,0.36
botsort,0.4,0.2,0.8,4,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.2,0.8,4,0.95,0.37,0.63,0.45,0.44
botsort,0.4,0.2,0.8,10,0.6,0.17,0.71,0.25,0.24
botsort,0.4,0.2,0.8,10,0.8,0.31,0.66,0.38,0.36
botsort,0.4,0.2,0.8,10,0.9,0.36,0.64,0.44,0.43
botsort,0.4,0.2,0.8,10,0.95,0.36,0.63,0.44,0.43
botsort,0.6,0.1,0.2,1,0.6,0.19,0.83,0.3,0.28
botsort,0.6,0.1,0.2,1,0.8,0.36,0.79,0.46,0.42
botsort,0.6,0.1,0.2,1,0.9,0.4,0.77,0.5,0.49
botsort,0.6,0.1,0.2,1,0.95,0.41,0.77,0.51,0.51
botsort,0.6,0.1,0.2,2,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.2,2,0.8,0.35,0.8,0.44,0.41
botsort,0.6,0.1,0.2,2,0.9,0.39,0.78,0.49,0.49
botsort,0.6,0.1,0.2,2,0.95,0.4,0.77,0.48,0.5
botsort,0.6,0.1,0.2,3,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.2,3,0.8,0.34,0.8,0.43,0.4
botsort,0.6,0.1,0.2,3,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.2,3,0.95,0.4,0.77,0.49,0.51
botsort,0.6,0.1,0.2,4,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.2,4,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.2,4,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.2,4,0.95,0.4,0.77,0.48,0.51
botsort,0.6,0.1,0.2,10,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.2,10,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.2,10,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.2,10,0.95,0.39,0.77,0.47,0.5
botsort,0.6,0.1,0.4,1,0.6,0.19,0.83,0.3,0.28
botsort,0.6,0.1,0.4,1,0.8,0.36,0.79,0.46,0.42
botsort,0.6,0.1,0.4,1,0.9,0.4,0.77,0.5,0.49
botsort,0.6,0.1,0.4,1,0.95,0.41,0.77,0.51,0.51
botsort,0.6,0.1,0.4,2,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.4,2,0.8,0.35,0.8,0.44,0.41
botsort,0.6,0.1,0.4,2,0.9,0.39,0.78,0.49,0.49
botsort,0.6,0.1,0.4,2,0.95,0.4,0.77,0.48,0.5
botsort,0.6,0.1,0.4,3,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.4,3,0.8,0.34,0.8,0.43,0.4
botsort,0.6,0.1,0.4,3,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.4,3,0.95,0.4,0.77,0.49,0.51
botsort,0.6,0.1,0.4,4,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.4,4,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.4,4,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.4,4,0.95,0.4,0.77,0.48,0.51
botsort,0.6,0.1,0.4,10,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.4,10,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.4,10,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.4,10,0.95,0.39,0.77,0.47,0.5
botsort,0.6,0.1,0.6,1,0.6,0.19,0.83,0.3,0.28
botsort,0.6,0.1,0.6,1,0.8,0.36,0.79,0.46,0.42
botsort,0.6,0.1,0.6,1,0.9,0.4,0.77,0.5,0.49
botsort,0.6,0.1,0.6,1,0.95,0.41,0.77,0.51,0.51
botsort,0.6,0.1,0.6,2,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.6,2,0.8,0.35,0.8,0.44,0.41
botsort,0.6,0.1,0.6,2,0.9,0.39,0.78,0.49,0.49
botsort,0.6,0.1,0.6,2,0.95,0.4,0.77,0.48,0.5
botsort,0.6,0.1,0.6,3,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.6,3,0.8,0.34,0.8,0.43,0.4
botsort,0.6,0.1,0.6,3,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.6,3,0.95,0.4,0.77,0.49,0.51
botsort,0.6,0.1,0.6,4,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.6,4,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.6,4,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.6,4,0.95,0.4,0.77,0.48,0.51
botsort,0.6,0.1,0.6,10,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.1,0.6,10,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.1,0.6,10,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.1,0.6,10,0.95,0.39,0.77,0.47,0.5
botsort,0.6,0.1,0.8,1,0.6,0.16,0.7,0.26,0.24
botsort,0.6,0.1,0.8,1,0.8,0.33,0.66,0.41,0.38
botsort,0.6,0.1,0.8,1,0.9,0.37,0.64,0.46,0.44
botsort,0.6,0.1,0.8,1,0.95,0.38,0.64,0.46,0.44
botsort,0.6,0.1,0.8,2,0.6,0.17,0.7,0.26,0.24
botsort,0.6,0.1,0.8,2,0.8,0.32,0.66,0.4,0.38
botsort,0.6,0.1,0.8,2,0.9,0.36,0.64,0.45,0.44
botsort,0.6,0.1,0.8,2,0.95,0.37,0.64,0.44,0.43
botsort,0.6,0.1,0.8,3,0.6,0.17,0.71,0.26,0.24
botsort,0.6,0.1,0.8,3,0.8,0.31,0.66,0.39,0.36
botsort,0.6,0.1,0.8,3,0.9,0.36,0.64,0.44,0.43
botsort,0.6,0.1,0.8,3,0.95,0.37,0.63,0.44,0.43
botsort,0.6,0.1,0.8,4,0.6,0.17,0.71,0.26,0.24
botsort,0.6,0.1,0.8,4,0.8,0.31,0.66,0.38,0.36
botsort,0.6,0.1,0.8,4,0.9,0.36,0.64,0.44,0.43
botsort,0.6,0.1,0.8,4,0.95,0.37,0.63,0.44,0.43
botsort,0.6,0.1,0.8,10,0.6,0.17,0.71,0.25,0.24
botsort,0.6,0.1,0.8,10,0.8,0.31,0.66,0.38,0.36
botsort,0.6,0.1,0.8,10,0.9,0.36,0.64,0.44,0.43
botsort,0.6,0.1,0.8,10,0.95,0.36,0.63,0.42,0.42
botsort,0.6,0.2,0.2,1,0.6,0.19,0.83,0.3,0.28
botsort,0.6,0.2,0.2,1,0.8,0.36,0.79,0.46,0.42
botsort,0.6,0.2,0.2,1,0.9,0.4,0.77,0.5,0.49
botsort,0.6,0.2,0.2,1,0.95,0.41,0.77,0.51,0.51
botsort,0.6,0.2,0.2,2,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.2,2,0.8,0.35,0.8,0.44,0.41
botsort,0.6,0.2,0.2,2,0.9,0.39,0.78,0.49,0.49
botsort,0.6,0.2,0.2,2,0.95,0.4,0.77,0.48,0.5
botsort,0.6,0.2,0.2,3,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.2,3,0.8,0.34,0.8,0.43,0.4
botsort,0.6,0.2,0.2,3,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.2,0.2,3,0.95,0.4,0.77,0.49,0.51
botsort,0.6,0.2,0.2,4,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.2,4,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.2,0.2,4,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.2,0.2,4,0.95,0.4,0.77,0.48,0.51
botsort,0.6,0.2,0.2,10,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.2,10,0.8,0.34,0.8,0.42,0.39
botsort,0.6,0.2,0.2,10,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.2,0.2,10,0.95,0.39,0.77,0.47,0.5
botsort,0.6,0.2,0.4,1,0.6,0.19,0.83,0.3,0.28
botsort,0.6,0.2,0.4,1,0.8,0.36,0.79,0.46,0.42
botsort,0.6,0.2,0.4,1,0.9,0.4,0.77,0.5,0.49
botsort,0.6,0.2,0.4,1,0.95,0.41,0.77,0.51,0.51
botsort,0.6,0.2,0.4,2,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.4,2,0.8,0.35,0.8,0.44,0.41
botsort,0.6,0.2,0.4,2,0.9,0.39,0.78,0.49,0.49
botsort,0.6,0.2,0.4,2,0.95,0.4,0.77,0.48,0.5
botsort,0.6,0.2,0.4,3,0.6,0.2,0.84,0.3,0.28
botsort,0.6,0.2,0.4,3,0.8,0.34,0.8,0.43,0.4
botsort,0.6,0.2,0.4,3,0.9,0.39,0.77,0.48,0.48
botsort,0.6,0.2,0.4,3,0.95,0.4,0.77,0.49,0.51
