tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,mota,motp,idf1,hota
botsort,0.4,0.2,0.6,3,0.9,0.76,0.8,0.73,0.77
botsort,0.4,0.2,0.6,3,0.95,0.77,0.8,0.74,0.78
botsort,0.4,0.2,0.6,3,0.97,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,3,0.98,0.77,0.79,0.69,0.75
botsort,0.4,0.2,0.6,5,0.8,0.75,0.8,0.69,0.74
botsort,0.4,0.2,0.6,5,0.9,0.76,0.8,0.73,0.77
botsort,0.4,0.2,0.6,5,0.95,0.77,0.8,0.74,0.78
botsort,0.4,0.2,0.6,5,0.97,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,5,0.98,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,10,0.8,0.74,0.8,0.69,0.74
botsort,0.4,0.2,0.6,10,0.9,0.76,0.8,0.73,0.77
botsort,0.4,0.2,0.6,10,0.95,0.77,0.8,0.74,0.78
botsort,0.4,0.2,0.6,10,0.97,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,10,0.98,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,15,0.8,0.74,0.8,0.69,0.74
botsort,0.4,0.2,0.6,15,0.9,0.76,0.8,0.73,0.77
botsort,0.4,0.2,0.6,15,0.95,0.77,0.8,0.74,0.78
botsort,0.4,0.2,0.6,15,0.97,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.6,15,0.98,0.77,0.79,0.7,0.75
botsort,0.4,0.2,0.8,3,0.8,0.74,0.8,0.7,0.74
botsort,0.4,0.2,0.8,3,0.9,0.75,0.8,0.73,0.76
botsort,0.4,0.2,0.8,3,0.95,0.76,0.8,0.73,0.76
botsort,0.4,0.2,0.8,3,0.97,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,3,0.98,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,5,0.8,0.74,0.8,0.7,0.74
botsort,0.4,0.2,0.8,5,0.9,0.75,0.8,0.72,0.76
botsort,0.4,0.2,0.8,5,0.95,0.76,0.8,0.73,0.76
botsort,0.4,0.2,0.8,5,0.97,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,5,0.98,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,10,0.8,0.73,0.8,0.7,0.74
botsort,0.4,0.2,0.8,10,0.9,0.75,0.8,0.73,0.75
botsort,0.4,0.2,0.8,10,0.95,0.76,0.8,0.73,0.76
botsort,0.4,0.2,0.8,10,0.97,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,10,0.98,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,15,0.8,0.73,0.8,0.7,0.74
botsort,0.4,0.2,0.8,15,0.9,0.75,0.8,0.73,0.75
botsort,0.4,0.2,0.8,15,0.95,0.76,0.8,0.73,0.76
botsort,0.4,0.2,0.8,15,0.97,0.76,0.8,0.69,0.74
botsort,0.4,0.2,0.8,15,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.4,3,0.8,0.75,0.8,0.7,0.75
botsort,0.6,0.1,0.4,3,0.9,0.75,0.8,0.73,0.77
botsort,0.6,0.1,0.4,3,0.95,0.76,0.8,0.73,0.77
botsort,0.6,0.1,0.4,3,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,3,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,5,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.4,5,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.4,5,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.4,5,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,5,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,10,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.4,10,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.4,10,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.4,10,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,10,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,15,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.4,15,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.4,15,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.4,15,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.4,15,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,3,0.8,0.75,0.8,0.7,0.75
botsort,0.6,0.1,0.6,3,0.9,0.75,0.8,0.73,0.77
botsort,0.6,0.1,0.6,3,0.95,0.76,0.8,0.73,0.77
botsort,0.6,0.1,0.6,3,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,3,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,5,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.6,5,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.6,5,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.6,5,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,5,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,10,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.6,10,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.6,10,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.6,10,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,10,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,15,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.1,0.6,15,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.6,15,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.1,0.6,15,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.6,15,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.1,0.8,3,0.8,0.74,0.8,0.7,0.74
botsort,0.6,0.1,0.8,3,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.1,0.8,3,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.1,0.8,3,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,3,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,5,0.8,0.74,0.8,0.7,0.74
botsort,0.6,0.1,0.8,5,0.9,0.75,0.8,0.72,0.75
botsort,0.6,0.1,0.8,5,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.1,0.8,5,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,5,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,10,0.8,0.73,0.8,0.7,0.74
botsort,0.6,0.1,0.8,10,0.9,0.75,0.8,0.73,0.75
botsort,0.6,0.1,0.8,10,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.1,0.8,10,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,10,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,15,0.8,0.73,0.8,0.7,0.74
botsort,0.6,0.1,0.8,15,0.9,0.75,0.8,0.73,0.75
botsort,0.6,0.1,0.8,15,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.1,0.8,15,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.1,0.8,15,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.4,3,0.8,0.75,0.8,0.7,0.75
botsort,0.6,0.2,0.4,3,0.9,0.75,0.8,0.73,0.77
botsort,0.6,0.2,0.4,3,0.95,0.76,0.8,0.73,0.77
botsort,0.6,0.2,0.4,3,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,3,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,5,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.4,5,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.4,5,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.4,5,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,5,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,10,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.4,10,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.4,10,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.4,10,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,10,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,15,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.4,15,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.4,15,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.4,15,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.4,15,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,3,0.8,0.75,0.8,0.7,0.75
botsort,0.6,0.2,0.6,3,0.9,0.75,0.8,0.73,0.77
botsort,0.6,0.2,0.6,3,0.95,0.76,0.8,0.73,0.77
botsort,0.6,0.2,0.6,3,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,3,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,5,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.6,5,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.6,5,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.6,5,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,5,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,10,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.6,10,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.6,10,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.6,10,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,10,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,15,0.8,0.74,0.8,0.71,0.75
botsort,0.6,0.2,0.6,15,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.6,15,0.95,0.77,0.8,0.74,0.77
botsort,0.6,0.2,0.6,15,0.97,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.6,15,0.98,0.76,0.8,0.69,0.75
botsort,0.6,0.2,0.8,3,0.8,0.74,0.8,0.7,0.74
botsort,0.6,0.2,0.8,3,0.9,0.75,0.8,0.73,0.76
botsort,0.6,0.2,0.8,3,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.2,0.8,3,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,3,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,5,0.8,0.74,0.8,0.7,0.74
botsort,0.6,0.2,0.8,5,0.9,0.75,0.8,0.72,0.75
botsort,0.6,0.2,0.8,5,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.2,0.8,5,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,5,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,10,0.8,0.73,0.8,0.7,0.74
botsort,0.6,0.2,0.8,10,0.9,0.75,0.8,0.73,0.75
botsort,0.6,0.2,0.8,10,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.2,0.8,10,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,10,0.98,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,15,0.8,0.73,0.8,0.7,0.74
botsort,0.6,0.2,0.8,15,0.9,0.75,0.8,0.73,0.75
botsort,0.6,0.2,0.8,15,0.95,0.76,0.8,0.73,0.76
botsort,0.6,0.2,0.8,15,0.97,0.76,0.8,0.69,0.74
botsort,0.6,0.2,0.8,15,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.4,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.1,0.4,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.4,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.1,0.4,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.4,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.4,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.1,0.4,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.4,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.4,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.4,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.4,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.4,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.4,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.4,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.4,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.4,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.4,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.4,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.4,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.4,15,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.1,0.6,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.6,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.1,0.6,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.6,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.6,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.1,0.6,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.6,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.6,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.6,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.6,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.6,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.6,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.6,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.6,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.6,15,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.1,0.8,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.8,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.1,0.8,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.8,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.1,0.8,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.1,0.8,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.1,0.8,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.8,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.8,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.8,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.8,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.1,0.8,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.1,0.8,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.1,0.8,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.1,0.8,15,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.2,0.4,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.4,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.2,0.4,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.4,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.4,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.2,0.4,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.4,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.4,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.4,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.4,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.4,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.4,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.4,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.4,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.4,15,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.2,0.6,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.6,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.2,0.6,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.6,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.6,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.2,0.6,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.6,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.6,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.6,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.6,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.6,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.6,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.6,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.6,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.6,15,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,3,0.8,0.74,0.8,0.71,0.74
botsort,0.8,0.2,0.8,3,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.8,3,0.95,0.76,0.8,0.73,0.77
botsort,0.8,0.2,0.8,3,0.97,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.8,3,0.98,0.76,0.8,0.69,0.74
botsort,0.8,0.2,0.8,5,0.8,0.73,0.8,0.69,0.74
botsort,0.8,0.2,0.8,5,0.9,0.75,0.8,0.72,0.76
botsort,0.8,0.2,0.8,5,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.8,5,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,5,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,10,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.8,10,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.8,10,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.8,10,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,10,0.98,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,15,0.8,0.73,0.8,0.69,0.73
botsort,0.8,0.2,0.8,15,0.9,0.75,0.8,0.72,0.75
botsort,0.8,0.2,0.8,15,0.95,0.76,0.8,0.72,0.76
botsort,0.8,0.2,0.8,15,0.97,0.76,0.8,0.67,0.73
botsort,0.8,0.2,0.8,15,0.98,0.76,0.8,0.67,0.73
